epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2223.01,1.13436,0.96881,1.20033,0.79627,0.74551,0.81273,0.52478,1.39356,1.09726,1.28597,0.000848969,0.000848969,0.000848969
43,2275.89,1.11899,0.92019,1.18999,0.69119,0.75851,0.75905,0.46694,1.47926,1.39143,1.42549,0.000834822,0.000834822,0.000834822
44,2328.29,1.10951,0.92708,1.20333,0.78291,0.71321,0.79211,0.51394,1.40094,1.10885,1.30454,0.000820675,0.000820675,0.000820675
45,2380.54,1.08973,0.93322,1.17111,0.78285,0.75613,0.79623,0.53581,1.36007,1.04872,1.29103,0.000806528,0.000806528,0.000806528
46,2433.06,1.06703,0.90563,1.15487,0.83827,0.75637,0.80542,0.5213,1.36755,1.064,1.27554,0.00079238,0.00079238,0.00079238
47,2485.63,1.06135,0.90816,1.16522,0.8499,0.74476,0.81009,0.53875,1.38829,1.08146,1.27655,0.000778233,0.000778233,0.000778233
48,2538.1,1.0171,0.85346,1.14541,0.8813,0.72142,0.81522,0.53703,1.32609,1.03958,1.26352,0.000764086,0.000764086,0.000764086
49,2590.6,1.07953,0.87689,1.1558,0.81243,0.72717,0.77742,0.50219,1.39363,1.14367,1.35116,0.000749939,0.000749939,0.000749939
50,2643.09,1.03181,0.86294,1.14982,0.84369,0.72408,0.80115,0.5304,1.34595,1.10695,1.26133,0.000735792,0.000735792,0.000735792
51,2695.78,1.05577,0.84827,1.1453,0.79191,0.76517,0.81424,0.50447,1.4372,1.0816,1.32121,0.000721645,0.000721645,0.000721645
52,2748.46,1.01727,0.83326,1.13671,0.79959,0.72975,0.8052,0.56791,1.31526,1.0059,1.27495,0.000707498,0.000707498,0.000707498
53,2800.98,1.04701,0.84903,1.16057,0.85974,0.79762,0.82975,0.56175,1.28156,0.90556,1.23679,0.000693351,0.000693351,0.000693351
54,2853.63,1.02676,0.83527,1.15022,0.84957,0.77656,0.82716,0.56424,1.34242,0.96097,1.25948,0.000679204,0.000679204,0.000679204
55,2906.23,0.99402,0.81058,1.12141,0.84463,0.78962,0.81467,0.55264,1.34971,0.97929,1.26133,0.000665057,0.000665057,0.000665057
56,2958.75,1.01842,0.8359,1.13764,0.77719,0.75075,0.78912,0.52886,1.40236,1.07906,1.29075,0.000650909,0.000650909,0.000650909
57,3011.14,1.00164,0.79686,1.11385,0.88112,0.74901,0.82691,0.56705,1.31071,0.96173,1.24105,0.000636762,0.000636762,0.000636762
58,3063.71,0.98264,0.77983,1.12672,0.79631,0.77187,0.80322,0.5508,1.29809,0.99619,1.29138,0.000622615,0.000622615,0.000622615
59,3116.4,0.9876,0.79934,1.11882,0.87727,0.76379,0.82717,0.54689,1.36776,0.94938,1.28003,0.000608468,0.000608468,0.000608468
60,3169.45,0.97399,0.8053,1.12168,0.79701,0.75204,0.79536,0.52557,1.33833,1.09291,1.29188,0.000594321,0.000594321,0.000594321
61,3222.55,0.96688,0.78542,1.1072,0.88296,0.72458,0.82005,0.55833,1.30219,0.97828,1.28737,0.000580174,0.000580174,0.000580174
62,3276.23,0.96621,0.77343,1.0961,0.77476,0.79444,0.80551,0.5415,1.30359,1.07104,1.26021,0.000566027,0.000566027,0.000566027
63,3329.77,0.95501,0.75013,1.09277,0.86805,0.78778,0.81871,0.5625,1.318,1.07942,1.26207,0.00055188,0.00055188,0.00055188
64,3382.71,0.97759,0.76688,1.11906,0.8733,0.77476,0.81949,0.54356,1.39456,1.05714,1.29113,0.000537733,0.000537733,0.000537733
65,3436.06,0.95745,0.75043,1.10034,0.84761,0.78029,0.82037,0.55537,1.35542,1.01759,1.28571,0.000523586,0.000523586,0.000523586
66,3489.14,0.9489,0.76752,1.10085,0.85393,0.79602,0.8371,0.56375,1.29357,0.9178,1.22624,0.000509438,0.000509438,0.000509438
67,3541.96,0.92827,0.73172,1.09827,0.88838,0.77618,0.82689,0.57275,1.2858,0.90424,1.22381,0.000495291,0.000495291,0.000495291
68,3594.94,0.94311,0.73631,1.09828,0.86539,0.80229,0.83364,0.56443,1.33817,0.96251,1.26644,0.000481144,0.000481144,0.000481144
69,3647.97,0.95406,0.76122,1.10281,0.8281,0.79794,0.83383,0.57558,1.34716,0.98219,1.27911,0.000466997,0.000466997,0.000466997
70,3701.35,0.96722,0.7356,1.10194,0.89252,0.76627,0.84024,0.5793,1.30521,0.99283,1.25142,0.00045285,0.00045285,0.00045285
71,3754.28,0.92871,0.72317,1.09217,0.83408,0.78944,0.83312,0.56608,1.28264,0.90151,1.24427,0.000438703,0.000438703,0.000438703
72,3807.19,0.90645,0.69523,1.07872,0.88549,0.77457,0.83801,0.57444,1.29746,0.92223,1.23533,0.000424556,0.000424556,0.000424556
73,3859.86,0.91741,0.72196,1.07558,0.88774,0.75964,0.83467,0.56805,1.28054,0.92758,1.23963,0.000410409,0.000410409,0.000410409
74,3912.27,0.91572,0.70797,1.07863,0.87312,0.75566,0.82584,0.55633,1.34333,0.9445,1.26894,0.000396262,0.000396262,0.000396262
75,3964.68,0.91886,0.71025,1.08928,0.84447,0.78722,0.81285,0.55979,1.31747,0.95503,1.24605,0.000382115,0.000382115,0.000382115
76,4017.22,0.88256,0.68156,1.07596,0.89172,0.76471,0.83161,0.57475,1.28175,0.8947,1.23515,0.000367967,0.000367967,0.000367967
77,4069.99,0.92497,0.70191,1.08964,0.86221,0.78719,0.8366,0.58507,1.28078,0.92326,1.24036,0.00035382,0.00035382,0.00035382
